;data;nome;descricao;localidade;post
31;2022-08-01 20:00:28;Brasil 61;Empresa de comunicação e conteúdo jornalístico. Produzimos materiais multimídia, regionalizados e gratuitos. Conteúdos de áudio feito pela Agência do Rádio.🎙✍️;Brasília - DF;O Ministério da Saúde está trabalhando com um quantitativo de aproximadamente 50 mil doses iniciais de imunizantes… https://t.co/Mn4pqR4Mir
32;2022-08-01 18:14:26;Portal O Antenado;O site antenado nas notícias do Amazonas e do Brasil;;"Em todos os locais de atendimento haverá primeira, segunda, terceira e quarta dose. #Manaus #Vacina 

https://t.co/eiUOgnwDZE"
33;2022-08-01 18:04:12;Rádio Bandeirantes;"Twitter oficial da Rádio Bandeirantes.

Frequência 840 AM | 90.9 FM | São Paulo/SP";;"VARÍOLA DOS MACACOS | Brasil terá vacinas ainda este ano?

#RádioBandeirantes #TradiçãoNoRádio #Saúde… https://t.co/pbk6yTuTGi"
34;2022-08-01 18:00:00;iBahia;"Da Bahia pro mundo 🌎
Do mundo pra perto da gente 📲";Salvador, Bahia, Brasil;O imunizante será disponibilizado das 8h às 16h, em 75 pontos fixos e em quatro drives-thru. Locais serão divulgado… https://t.co/UvI0q30Hhd
35;2022-08-01 17:43:16;SintectSP;Sindicato dos Trabalhadores da Empresa Brasileira de Correios Telégrafos e Similares de São Paulo, Grande São Paulo e zona postal de Sorocaba;São Paulo-SP;💉 #Vacina | No próximo sábado, 08/08, será iniciada a Campanha Nacional de Vacinação contra a poliomielite, também… https://t.co/EwLoP4QbLz
36;2022-08-01 17:06:31;Jonathan Pereira;Jornalista;São Paulo;Não dá pra entender pais que preferem correr o risco de ver o filho na UTI do que escuta-lo chorar 2 minutos pq tom… https://t.co/nUPakUODh8
37;2022-08-01 16:56:31;SINDECTEB;Sindicatos dos trabalhadores dos Correios de Bauru e região;Bauru-SP;💉 #Vacina | No próximo sábado, 08/08, será iniciada a Campanha Nacional de Vacinação contra a poliomielite, também… https://t.co/58FRUGC6vK
38;2022-08-01 16:43:25;FindectOficial;FINDECT - Federação Interestadual dos Empregados da Empresa Brasileira de Correios e Telégrafos #Findect #Correios #Ecetista;Brasil;#Vacina | No próximo sábado, 08/08, será iniciada a Campanha Nacional de Vacinação contra a poliomielite, também co… https://t.co/xeFiPO0U9J
39;2022-08-01 16:35:10;O Alto Acre;Agência de Notícias, Publicidade e Propaganda. 17 anos levando noticias do Acre para o mundo.;Brasiléia, Acre;#brasil #varioladosmacacos #ministro #vacina #antiviral https://t.co/mCL9e83Rjm
40;2022-08-01 15:54:16;Dalva;Brasileira / Brasileña / Brazilian - Compartilhando minha opinião e dicas do que assistir nos streamings: documentários, filmes e séries.;Brasil;Que agosto traga o que julho não trouxe: a 4ª dose da vacina COVID-19 para as faixas etárias de 20 e 30 anos.… https://t.co/2LoAnsaTTb
41;2022-08-01 15:19:25;bebito fiu fiu;la vida es bonita pero traicionera;;A minha parte eu fiz, tomei a quarta dose #vacina #COVID19
42;2022-08-01 14:09:57;Jornal Boqnews;O portal de notícias de Santos, São Vicente, Praia Grande, Cubatão, Guarujá, Bertioga, Itanhaém, Mongaguá e Peruibe. Informações sobre a Baixada Santista-SP.;Santos;"#Vacina Doses serão para profissionais de saúde e quem teve contato com doente
https://t.co/En6dx1sweu"
43;2022-08-01 13:31:58;Amazonas Atual;"O seu jornal on-line • #AmazonasAtual |

Participe do nosso canal no Telegram 
📲 https://t.co/mTdSj1EhJW

Lista de Transmissão no Whatsapp
(92) 98401-2888";Manaus, Amazonas;"Pacientes de varíola dos macacos estão hospitalizados e em estado grave, informou Ministério da Saúde.

#saúde… https://t.co/wVfioPMN6V"
44;2022-08-01 13:06:42;Rafael Rossi;Jornalista Esportivo (Sports Journalist), Apresentador/Narrador/Repórter, papai da Juju (Juju's Daddy)!;Cedral (SP-Brasil);#Mirassol #regiao #Noticias #COVID  #Covid19 #COVID19pt #COVID19br  #PortalDaCidade #jornalismo #imunização #vacina… https://t.co/7c5rtjHSwK
45;2022-08-01 12:41:06;PNotícias;O líder de notícias no rádio agora com você em todo lugar!;;"Salvador retoma esquema de vacinação contra Covid-19 nesta segunda-feira - https://t.co/2H1axe75kj 
#PNotícias… https://t.co/JyYx3IAB0X"
46;2022-08-01 12:11:12;Richard W. Sanchez;Empresário. Brasileiro residente nos EUA desde 1991. Consultor. Especialista em Marketing e Vendas. Canal de Consultoria e Negócios nos EUA https://t.co/z5L4E4H1Iw;Doral (Miami), Florida, USA;Curiosidades do partido democrata americano.O que é inflação?Não sabem mas querem mudar a definição.O que é uma mul… https://t.co/sAEc0yDLk2
47;2022-08-01 11:43:51;Alvorada FM;Nesse e nos próximos 44 anos, vamos seguir evoluindo para continuar sendo uma rádio 100% sintonizada em você! #VocêSabePorqueOuve;Belo Horizonte;"🟠🏥 Ministério da Saúde anuncia compra de vacina contra a monkeypox. 💉😷

Saiba mais: https://t.co/FwWfcZzYNP… https://t.co/ZOJktFjdxh"
48;2022-08-01 09:15:57;A VOZ CONTINUA;;;#coronavírus #vacina https://t.co/HzKSHlmwYL
49;2022-08-01 01:26:04;ELEICAO/22-Valeska🇧 🇴 🇱 🇸 🇴 🇳 🇦 🇷 🇴 22;"BOLSONARISTA SIM, COM ORGULHO!
EU NÃO VOTO EM LULADRÃO! GENTE HONESTA NÃO VOTA EM LULADRÃO!💚🇧🇷 Em 2022, é BOLSONARO 2️⃣2️⃣
(criação 28/03/22)";Espírito Santo, Brasil;@Edinholivero @FlavioBolsonaro @jairbolsonaro Vc sabe q @jairbolsonaro não tinha q responder e-mail d #Pfizer sobre… https://t.co/BYOM0iwAez
50;2022-07-31 23:57:34;CMIO.org;Conselho de Mídia Independente e Observatório - Notícias e serviços verificados, desde 2008.;Brasil;Adolescente que contraiu raiva morre no Distrito Federal - https://t.co/cMxtTibZcW #Brasília #Covid #DF #morre… https://t.co/LORtGkK1Aj
51;2022-07-31 20:11:58;Jornal de Alagoas;Melhor site de notícias de Alagoas. Sempre atualizado, com as últimas sobre política, economia e sociedade.;Alagoas, Brasil;Penedo inicia vacinação contra Covid-19 em crianças de 3 e 4 anos https://t.co/PBY5yKUUox #penedo #covid19 #vacina… https://t.co/8SgvfTGIJH
52;2022-07-31 19:34:56;Brasil aqui / Brazil here 🇧🇷 ProtejamOsKaiowá 🏹;Imagens com o intuito de promover esse país de proporções continentais. Aprofunde o conhecimento clicando nas tags. #Brasil |CEO & Founder @Silvio_Menezs #RI;Brasil;#MatoGrossoDoSul #MS #Goiás #GO #DistritoFederal #DF #MatoGrosso #MT #Brasil #CentroOeste #Brazil #Descubra… https://t.co/koQjsBL7xu
53;2022-07-31 16:55:18;UniCiência;Olá, UniCientistas! O canal é apresentado pelo Dr. Gustavo Moreira, pesquisador e cientista formado em Biotecnologia. Fique bem informado e divirta-se!;Brasil;"A variante Ômicron do Coronavírus possui algumas subvariantes! Saiba como se proteger contra elas!

Assista!… https://t.co/9irXsHMGAs"
54;2022-07-31 15:24:13;Grupo do bem estar;Pessoas que se encontram para colocar a ARTE, A CIÊNCIA HUMANISTA, o PROTAGONISMO CIDADÃO e a ESPIRITUALIDADE a serviço do BEM ESTAR e da FELICIDADE.;São Paulo, BRASIL;Joe Biden testa positivo para #COVID19 após 9 dias de infecção e uso de Paxlovid.#Pandemia não acabou.Use Máscara.… https://t.co/RlE0SrmOw1
55;2022-07-31 15:22:48;Rafaela Sacramento;"Deus 🙌🏽
Violinista 🎻
Pedagogia 📚
Caieiras SP 🌲❤";Caieiras, Brasil;"3ª Dose check! 💉
#sus #vacina #saúde em Teatro Municipal De Caieiras Maestro Sérgio Valbusa https://t.co/H5AaJO4Qfq"
56;2022-07-31 14:50:30;TV Cultura;Twitter oficial da TV Cultura. Siga também os perfis: @jornal_cultura e @rodaviva. Acompanhe a nossa programação pelo nosso site!;São Paulo, Brasil;Anvisa irá avaliar o pedido e tem 30 dias para dar uma resposta para farmacêutica. Atualmente, imunizante da Pfizer… https://t.co/QtQTAdk6Ip
57;2022-07-31 14:50:26;Jornalismo TV Cultura;Acompanhe por aqui as notícias do #EstaManhãNaCultura #JTCultura #JornaldaCultura;;Anvisa irá avaliar o pedido e tem 30 dias para dar uma resposta para farmacêutica. Atualmente, imunizante da Pfizer… https://t.co/7ggsHI8eIy
58;2022-07-31 12:23:40;Marinhos mascarado (N95/PFF2) e reforçado com a D4;Educação, tecnologia, ciência, política. Com algum humor. | Education, technology, science, politics. With some humor.;Here, there and everywhere. ;"No CFM, Cercadinho Federal de Medicina, Jair foi aplaudido por cloroquiners quando afirmou que não tomou vacina.
A… https://t.co/BwKwRd4FXi"
59;2022-07-31 02:56:14;Cláudio Velloso;"Engenheiro Químico - FAENQUIL - USP - 
Pós Eng. Econômica - Estudos em Microbiologia e Bioquímica.";Brasil;"#vacina
No 13 de julho, a ANVISA aprovou, já com muitos atrasos, uso emergencial da CORONAVAC para crianças de 3 a… https://t.co/xjwEVtH8gF"
60;2022-07-31 00:14:59;O Alto Acre;Agência de Notícias, Publicidade e Propaganda. 17 anos levando noticias do Acre para o mundo.;Brasiléia, Acre;#Vacina #inativada #pólio #10anos #baixa #adesão https://t.co/d8Cejj6LmB
61;2022-07-30 17:47:31;Leandro Sa;Empreendedor, Católico, Liberal na Economia, Conservador nos costumes, apoiador a independência e desenvolvimento do país.;Brazil;"Alguém notícia?
@Rconstantino @cristinagraeml @GFiuza_Oficial @AnaPaulaVolei @JovemPanNews @dramayraoficial… https://t.co/rvyQM04YwT"
62;2022-07-30 16:48:17;Portal Correio;Somos o portal de notícias mais acessado da PARAÍBA. OBRIGADO por nos acompanhar! Facebook: https://t.co/iXEv9YD2HG Instagram: https://t.co/JGRrc1P1nb;João Pessoa, PB;Paraíba tem Dia D de Multivacinação para atualizar cartão de vacinas #Saúde #Vacina #PortalCorreio https://t.co/ai9pNWGPAR
63;2022-07-30 16:42:37;O Alto Acre;Agência de Notícias, Publicidade e Propaganda. 17 anos levando noticias do Acre para o mundo.;Brasiléia, Acre;#Pfizer #ANVISA #pedido #autorização #vacina #COVID19 #6meses #4anos https://t.co/KAlnNdMhY6
64;2022-07-30 16:35:00;André Antonini;Economist 8/8;São Paulo - SP, Brasil.;imunizado 4 dose 💉 ✅ #vacina https://t.co/ljkplGg9vG
65;2022-07-30 16:32:13;Jonatan @somaisumalgoritmo;"~ Activist for Human Rights, PLHIV and LGBTQI community. Human being... I'm here to talk to you bit$hes about everything. Follow me!!! 

My OF in Pvt pls! 🔞😂";Paraná, Brazil;Queremos #vacina para #varíola (Monkey Pox) https://t.co/zwqRP5do2L
66;2022-07-30 16:13:48;Kleber Karpov;"Mestrando em Comunicação Política (UCP), Esp.Audit./Gestão Saúde; MBA Neuromarketing, Jornalista, Editor Política Distrital; ex-Sec. Mun. Comunicação SAD/GO;";Brasília-DF;"Vacina inativada da pólio faz 10 anos nos postos com baixa adesão

https://t.co/MjHmt0kX9y

#CoberturaVacinal… https://t.co/UnNP2xx9tf"
67;2022-07-30 14:02:07;PNotícias;O líder de notícias no rádio agora com você em todo lugar!;;"Primeiras vacinas contra varíola dos macacos devem chegar em setembro - https://t.co/JF097nqdY5 
#PNotícias #News… https://t.co/9g4qz4La7l"
68;2022-07-30 13:56:54;Portal Vigilante;MANAUS | AMAZONAS | BRASIL | POLÍTICA | POLÍCIA | ESPORTE | FAMOSOS 🕵🏽‍♂️;;A vacina é ofertada para todas as pessoas a partir de 3 anos de idade. #Manaus #Vacina #Covid https://t.co/HZYpKqOI4z
69;2022-07-30 13:52:57;Portal O Antenado;O site antenado nas notícias do Amazonas e do Brasil;;A vacina é ofertada para todas as pessoas a partir de 3 anos de idade. #Manaus #Vacina #Covid https://t.co/nhP7CgNNtu
70;2022-07-30 13:52:37;DOL CARAJÁS;DOL Carajás;Marabá, PA - Brasil;"No Brasil💉
https://t.co/Wketpgun1h
Você já tomou a sua?

#tánodolcarajas #dolcarajas #poliomielite #vacina #brasil"
71;2022-07-30 13:26:16;Notícias RedeTV;"Aqui você encontra tudo o que acontece no Brasil e no mundo!

- Siga também: @redetv";;"Vacina inativada da pólio faz 10 anos nos postos com baixa adesão

- Baixa cobertura vacinal é uma grande preocupaç… https://t.co/1wsBiL3KGV"
72;2022-07-30 13:16:54;Diário de Goiás;O jornal Diário de Goiás é publicação digital independente com informação e análise dos fatos. Publicado desde 2012. Visite o https://t.co/LOHq4fDK2E;Goiânia;"Saiba onde se vacinar contra Covid-19, Influenza e testagem neste fim de semana, em Goiânia.

By @diariodegoias… https://t.co/NpkhXG12mv"
73;2022-07-30 12:55:18;CMIO.org;Conselho de Mídia Independente e Observatório - Notícias e serviços verificados, desde 2008.;Brasil;Incidência de covid-19 grave é até 3 vezes maior entre não vacinados - https://t.co/s0WruycDtR #Boletim #Covid… https://t.co/4syTfP6WnQ
74;2022-07-30 12:36:08;Nezeli Fagundes;Funcionária pública aposentada CATI - Secretaria de Agricultura e Abastecimento do Estado de São Paulo;;#Vacina #Covid19 #Janssen #AFPChecamos https://t.co/YGdPyhg9dW
75;2022-07-30 12:33:11;Dottinha;;;Na minha vez questionei tudo isso e ele me respondeu que ñ é necessário luvas nem higienizar as mãos pois a agulha… https://t.co/MwsIHAnYY7
76;2022-07-30 11:49:21;Quiropraxia Zona Norte SP ☯;☯ Freguesia do Ó ZN.SP - Quiropraxia. Cuida da sua coluna e alivia a Dor lombar crônica, em 90% após a 1ª Sessão. Esta com Dor? Vai no Neto!;São Paulo SP;"BOM DIA

#novidades  #g1  #saúde   #vacina  #TVCultura  #SP1 #SP2  #redeglobo  #sbt  #r7  #HojeEmDia  #Hora1… https://t.co/EeHcyKWZ9v"
77;2022-07-30 11:33:29;douglas dias;"O importante é a NOTÍCIA! É o debate. Precisamos de diversidade nas ideias. Respeito mútuo. 
#PiadasSãoPiadasNadaMais https://t.co/4eOMl6GzD2";Niterói-RJ-BRASIL;"REINFECÇÃO PELA COVID SE TORNOU MAIS COMUM.
Menos tempo.
#COVID19
#Saúde #Vacina #Poder360
#MinisterioDaSaude… https://t.co/CthDFqprJi"
78;2022-07-30 11:00:19;Em Dia ES;Há 13 anos difundindo conteúdo relevante para os capixabas.;ES;"Primeiras vacinas contra varíola dos macacos devem chegar em setembro

#varioladosmacacos #saude #vacina… https://t.co/WLq3ow4DNA"
79;2022-07-30 10:20:10;Jornal dos Canyons;#JornaldosCanyons, o Diário Digital da #CapitaldosCanyons → #Política, #Economia & #Tecnologia ≡ #JdC;Praia Grande, Brasil;"👉🏻 Novos Diagnósticos 24h: 41.713
👉🏻 Óbitos Acumulados: 678.313
👉🏻 Óbitos 24h: 244
👉🏻 Fonte: Ministério da Saúde

🗞… https://t.co/vZKEXFrLFG"
80;2022-07-30 04:31:10;Pablo Faria;Coé! | @blackcastball;Rio de Janeiro ;Aproveitei a hora do almoço para ir no posto tomar a #4ªdose da #vacina. Chegando lá a mulher sugeriu que eu já tom… https://t.co/IDoB1Prwa8
81;2022-07-30 02:36:39;Érica Ferreira (de 🏠);Evoluir leva tempo, mas vale a pena!!!! 🌻🌻🌻 ♥️♥️♥️;Belo Horizonte, Brasil;Testei positivo para o Covid pela segunda vez, com três vacinas em dia. Estou com sintomas de gripe mais forte e um… https://t.co/qrPvRkS612
82;2022-07-30 00:19:07;O Alto Acre;Agência de Notícias, Publicidade e Propaganda. 17 anos levando noticias do Acre para o mundo.;Brasiléia, Acre;#vacina #variola #macacos #setembro https://t.co/7WWUyhSBFM
83;2022-07-30 00:14:33;Portal SCC10;O Portal da Notícia em Santa Catarina.;Santa Catarina;"💉 Doses serão aplicadas em um público específico. Veja quando chegam as primeiras doses:

#scc10 #vacina… https://t.co/hVys0enmvP"
84;2022-07-30 00:11:09;MARCIA COSTA;Tel 00 55 21 999538284 Marcia Costa marciacostadg@hotmail.com Filme Longa Documentário Francês FAUX DÉPART (Falsa Partida /Ultimely Departure)de SONIA BARKALLAH;RIO DE JANEIRO - BRASIL.;#Rio #vacina contra #covid https://t.co/AiMyHjRaqU
85;2022-07-29 23:47:24;Área VIP;"Área Vip - Site pioneiro sobre TV e Famosos no Brasil!

Celebridades, Televisão, Bastidores, Novelas e Reality-shows.";São Paulo;Tadeu Schmidt mostra dupla imunização “#Vacina Forever” - #Covid19 #Influenza #TadeuSchmidt - https://t.co/dnMxg3GuPo
86;2022-07-29 23:38:22;Petrópolis em Cena;"Perfil oficial do Portal Petrópolis em Cena
Twitter: @petroemcena
Instagram: @petropolisemcena
Facebook:  @petropolisemcena
Compartilhe tag #petropolisemcena";Brasil;Nesta sexta-feira (29), foi ampliada a aplicação da quarta dose (segundo reforço) para pessoas com 18 anos ou mais.… https://t.co/hHAlxEiahV
87;2022-07-29 21:46:21;Click Riomafra;Click Riomafra - https://t.co/NC82D0YbIs;Rio Negro-PR / Mafra-SC;#vacina As doses serão aplicadas nas ESFs que possuam salas de vacina credenciadas.  https://t.co/CRdnwLI7f9
88;2022-07-29 20:58:08;Riomafra Mix;Seu maior site de notícias da região.;Paraná, Brasil;"Após 1ª morte, Saúde encomenda 50 mil doses de vacina contra varíola dos macacos 👈

Leia a matéria completa no site… https://t.co/Dy6I2GKvWu"
89;2022-07-29 20:10:37;Freder Kamen;Palavras voam ao vento, o importante são ações.;;Mais a assinatura da vacina não cobria isto? Eu pensei que a 5ª temporada era a final, vai ter uma próxima?… https://t.co/0IAWKdfDhf
90;2022-07-29 20:00:01;Imunovida Vacinas;A Imunovida Vacinas, sediada na cidade mineira de Uberlândia, promover mais saúde e qualidade de vida por meio da IMUNIZAÇÃO.;;A BCG já salvou milhares de vidas e vai salvar ainda mais, portanto nem pense em deixar o seu pequeno sem a vacina.… https://t.co/NRRYvBYzaP
91;2022-07-29 20:00:00;Unifesp;Universidade Federal de São Paulo #somosunifesp;São Paulo, Brasil;"🚨 O prazo está acabando! Só até 31/7.

💉📄 Estudantes de graduação e pós-graduação, residentes e servidores(as) deve… https://t.co/Mg5v8SdEgo"
92;2022-07-29 19:56:43;ASBAI;Associação Brasileira de Alergia e Imunologia;São Paulo - Brasil;Hoje, a ASBAI participou do curso 👉 Hesitação Vacinal👈, promovido pela SBIm e o Instituto Questão de ciência.… https://t.co/ur6KARc0JY
93;2022-07-29 19:40:54;www.ofatomaringa.com.br;"O FATO MARINGÁ  
Portal de Notícias";;COVID: Saúde passa a vacinar 18  em Maringá https://t.co/fvXugzF1ao #vacina # vacinação covid # quarta dose covid
94;2022-07-29 18:57:19;CidadeVerde.com;Twitter oficial do https://t.co/hMvEQvWwl5, portal da TV Cidade Verde;Teresina - Piauí - Brasil;O Piauí está em segundo lugar entre os estados que mais aplicaram a primeira dose de reforço contra a Covid-19, seg… https://t.co/s0OZVRVVZh
95;2022-07-29 17:14:21;Rafael Aloisio Freitas;Vereador no município do RJ, 1° Secretário da #camarario e atuo em prol da recuperação econômica da nossa cidade;Rio de Janeiro, Brasil;👀👉Fique atento ao calendário de vacinação contra a COVID-19! Todas as pessoas partir dos 18 anos de idade devem se… https://t.co/Y2pGUKRaow
96;2022-07-29 16:32:26;ianthomaz 🏳️‍🌈;TOC - TAMANHA OVERDOSE DE CAOS;40.755313,-73.969521;Relato importante! Triste como foi preciso passar por tantas camadas d atendimento para que suspeitassem d Varíola.… https://t.co/sUziigyRNi
97;2022-07-29 16:21:57;Quiropraxia Zona Norte SP ☯;☯ Freguesia do Ó ZN.SP - Quiropraxia. Cuida da sua coluna e alivia a Dor lombar crônica, em 90% após a 1ª Sessão. Esta com Dor? Vai no Neto!;São Paulo SP;#novidades  #g1  #saúde   #vacina  #TVCultura  #SP1 #SP2  #redeglobo  #sbt  #r7  #HojeEmDia  #Hora1… https://t.co/rlCwvp8aGL
98;2022-07-29 15:38:19;Vinícius Borges ❤️‍🩹🏳️‍🌈;Médico infectologista que se dedica ao estudo da população LGBTQIA+, do HIV e das demais IST’s. Contato no link abaixo ou insta @doutormaravilha;São Paulo, Brasil;Brasil registrou a primeira morte por complicações da varíola monkeypox. Um paciente oncológico, em tratamento de l… https://t.co/ogsczvA6i4
99;2022-07-29 14:20:42;Guarulhos Online;"Você Conectado!
📊Cobertura dos principais acontecimentos da cidade
📝Jornalismo Local e Plural
📧#guarulhosonline
📲Siga o GO no Facebook e Instagram";Guarulhos, Brasil;Varíola dos macacos: entenda a transmissão, os sintomas e a vacina. #monkeypox #vacina #varíoladosmacacos… https://t.co/CsSh96STXz
